,QAEval (F1),QAEval (EM),BERTScore,METEOR,MoverScore,QAAlignedF1Score (BERTScore),QAAlignedF1Score (MoverScore),QAAlignedPrecision (BERTScore),QAAlignedPrecision (MoverScore),QAAlignedRecall (BERTScore),QAAlignedRecall (MoverScore),BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L
QAEval (F1),1.0,0.9737740549909968,0.3758462203677568,0.46185406876302393,0.3671909120738789,0.8210592230580296,0.6089427809274409,0.7429067296326994,0.4441135942139695,0.8738725287152305,0.712967279578745,0.2660023248016658,0.23463161871073288,0.143720796966286,0.10222291045718457,0.34839564026528896
QAEval (EM),0.9737740549909968,1.0000000000000002,0.5070075479259972,0.5533374126802436,0.4869297726499703,0.857620392467988,0.7043422583237005,0.7998875053577562,0.567122370013513,0.8924105324413574,0.7838598316002321,0.42419692815424276,0.3923345512122657,0.31142306342915543,0.2738840736337946,0.46911867397795515
BERTScore,0.3758462203677568,0.5070075479259972,0.9999999999999978,0.9706872030661332,0.9929050871101508,0.7418086723838403,0.9363553742226165,0.7807099193394458,0.9426813110962537,0.6960684474690142,0.897748671798,0.9193342095012708,0.9328785674448964,0.9026406985053637,0.8834742968026997,0.9888606619787511
METEOR,0.46185406876302393,0.5533374126802436,0.9706872030661332,1.0,0.9871671496968504,0.8043751768989168,0.9596448561157374,0.823596410276306,0.9348784809230741,0.7742474750995407,0.9438990768849429,0.8935805863492042,0.904920338095169,0.8621675636961609,0.838045885797092,0.9853501019121385
MoverScore,0.3671909120738789,0.4869297726499703,0.9929050871101508,0.9871671496968504,1.0000000000000002,0.7512972658933466,0.9452209404021121,0.7889117301595006,0.9506769709325004,0.7065405721526637,0.9071240669627143,0.9296850703141539,0.943254047951492,0.9128564806577483,0.8938443795245945,0.9972361144857843
QAAlignedF1Score (BERTScore),0.8210592230580296,0.857620392467988,0.7418086723838403,0.8043751768989168,0.7512972658933466,1.000000000000001,0.9207048572039519,0.9899869632632416,0.8496267586564541,0.9930929697140296,0.9440624490052063,0.6737858014474424,0.6546919655078267,0.5828528279569015,0.5471284143773605,0.7273407156017764
QAAlignedF1Score (MoverScore),0.6089427809274409,0.7043422583237005,0.9363553742226165,0.9596448561157374,0.9452209404021121,0.9207048572039519,0.9999999999999993,0.9402595166608041,0.9736066832017277,0.8891852442735606,0.9853852438112624,0.8873230908544698,0.8834049972038165,0.8340260966250151,0.8072373333902235,0.9322784364907151
QAAlignedPrecision (BERTScore),0.7429067296326994,0.7998875053577562,0.7807099193394458,0.823596410276306,0.7889117301595006,0.9899869632632416,0.9402595166608041,0.9999999999999992,0.900501818279515,0.9665983593929288,0.9395748473749677,0.732095848886109,0.7146537060109077,0.6527016256882872,0.6209737660493617,0.7632557261286272
QAAlignedPrecision (MoverScore),0.4441135942139695,0.567122370013513,0.9426813110962537,0.9348784809230741,0.9506769709325004,0.8496267586564541,0.9736066832017277,0.900501818279515,0.9999999999999999,0.7932291304731369,0.9205345558783852,0.9337208977497242,0.9323497077781697,0.9025492545980969,0.8841644512538571,0.9358588055578704
QAAlignedRecall (BERTScore),0.8738725287152305,0.8924105324413574,0.6960684474690142,0.7742474750995407,0.7065405721526637,0.9930929697140296,0.8891852442735606,0.9665983593929288,0.7932291304731369,1.0000000000000018,0.9321798574492708,0.6130378831839294,0.5927591254867038,0.5137414157274537,0.4752204748230246,0.684228316087073
QAAlignedRecall (MoverScore),0.712967279578745,0.7838598316002321,0.897748671798,0.9438990768849429,0.9071240669627143,0.9440624490052063,0.9853852438112624,0.9395748473749677,0.9205345558783852,0.9321798574492708,1.0000000000000007,0.8204153894836224,0.8145834099950885,0.7521207526944176,0.7198948342279582,0.8956065424527004
BLEU-1,0.2660023248016658,0.42419692815424276,0.9193342095012708,0.8935805863492042,0.9296850703141539,0.6737858014474424,0.8873230908544698,0.732095848886109,0.9337208977497242,0.6130378831839294,0.8204153894836224,1.0000000000000002,0.9978021218981616,0.9915537937087705,0.9853461326451348,0.9365346828784349
BLEU-2,0.23463161871073288,0.3923345512122657,0.9328785674448964,0.904920338095169,0.943254047951492,0.6546919655078267,0.8834049972038165,0.7146537060109077,0.9323497077781697,0.5927591254867038,0.8145834099950885,0.9978021218981616,1.0,0.9947238636973448,0.9886236317723711,0.9500020099064393
BLEU-3,0.143720796966286,0.31142306342915543,0.9026406985053637,0.8621675636961609,0.9128564806577483,0.5828528279569015,0.8340260966250151,0.6527016256882872,0.9025492545980969,0.5137414157274537,0.7521207526944176,0.9915537937087705,0.9947238636973448,0.9999999999999999,0.9988085499844259,0.921354002607384
BLEU-4,0.10222291045718457,0.2738840736337946,0.8834742968026997,0.838045885797092,0.8938443795245945,0.5471284143773605,0.8072373333902235,0.6209737660493617,0.8841644512538571,0.4752204748230246,0.7198948342279582,0.9853461326451348,0.9886236317723711,0.9988085499844259,1.0000000000000002,0.9035110399016963
ROUGE-L,0.34839564026528896,0.46911867397795515,0.9888606619787511,0.9853501019121385,0.9972361144857843,0.7273407156017764,0.9322784364907151,0.7632557261286272,0.9358588055578704,0.684228316087073,0.8956065424527004,0.9365346828784349,0.9500020099064393,0.921354002607384,0.9035110399016963,1.0000000000000002
